id,module_id,title,type,block_order,content
a1b2c3d4-e5f6-a7b8-c9d0-e1f2a3b4c5d6,"d5e9b8f0-3a2c-4b1d-8e9f-0a1b2c3d4e5f","Welcome to React","video",1,"https://www.youtube.com/watch?v=SqcY0GlETPk"
b2c3d4e5-f6a7-b8c9-d0e1-f2a3b4c5d6e7,"d5e9b8f0-3a2c-4b1d-8e9f-0a1b2c3d4e5f","What is JSX?","text",2,"JSX stands for JavaScript XML. It allows us to write HTML in React."
c3d4e5f6-a7b8-c9d0-e1f2-a3b4c5d6e7f8,"d5e9b8f0-3a2c-4b1d-8e9f-0a1b2c3d4e5f","Module 1 Quiz","quiz",3,"What is the virtual DOM?|A copy of the real DOM kept in memory|A component|A type of hook"
d4e5f6a7-b8c9-d0e1-f2a3-b4c5d6e7f8g9,"a1b2c3d4-5e6f-4a7b-8c9d-0e1f2a3b4c5d","Passing Data with Props","video",1,"https://www.youtube.com/watch?v=0sB_1b_n_b0"
e5f6a7b8-c9d0-e1f2-a3b4-c5d6e7f8g9h0,"a1b2c3d4-5e6f-4a7b-8c9d-0e1f2a3b4c5d","Managing State","text",2,"State is a plain JavaScript object used by React to represent an information about the component's current situation."
f6a7b8c9-d0e1-f2a3-b4c5-d6e7f8g9h0i1,"b2c3d4e5-6f7a-4b8c-9d0e-1f2a3b4c5d6e","useState Hook","video",1,"https://www.youtube.com/watch?v=O6P86uwfdR0"
a7b8c9d0-e1f2-a3b4-c5d6-e7f8g9h0i1j2,"b2c3d4e5-6f7a-4b8c-9d0e-1f2a3b4c5d6e","useEffect Hook","text",2,"The useEffect hook lets you perform side effects in function components."
b8c9d0e1-f2a3-b4c5-d6e7-f8g9h0i1j2k3,"f6a7b8c9-0d1e-4f2a-3b4c-5d6e7f8g9h0i","Conducting User Interviews","video",1,"https://www.youtube.com/watch?v=example"
c9d0e1f2-a3b4-c5d6-e7f8-g9h0i1j2k3l4,"f6a7b8c9-0d1e-4f2a-3b4c-5d6e7f8g9h0i","Creating Personas","text",2,"A persona is a fictional character representing a user type."
d0e1f2a3-b4c5-d6e7-f8g9-h0i1j2k3l4m5,"a7b8c9d0-1e2f-4a3b-4c5d-6e7f8g9h0i1j","Low-fidelity vs High-fidelity","text",2,"Low-fidelity focuses on structure, high-fidelity on visual details."
