id,course_id,module_order,title,duration
m1-c1,c1c1c1c1-c1c1-c1c1-c1c1-c1c1c1c1c1c1,1,Introduction to Hooks,1.5 hours
m2-c1,c1c1c1c1-c1c1-c1c1-c1c1-c1c1c1c1c1c1,2,State Management with Context,2 hours
m1-c2,c2c2c2c2-c2c2-c2c2-c2c2-c2c2c2c2c2c2,1,Pandas Fundamentals,3 hours
m2-c2,c2c2c2c2-c2c2-c2c2-c2c2-c2c2c2c2c2c2,2,Data Visualization,2.5 hours
m1-c3,c3c3c3c3-c3c3-c3c3-c3c3-c3c3c3c3c3c3,1,Design Thinking,2 hours
m2-c3,c3c3c3c3-c3c3-c3c3-c3c3-c3c3c3c3c3c3,2,Wireframing in Figma,3 hours
m1-c4,c4c4c4c4-c4c4-c4c4-c4c4-c4c4c4c4c4c4,1,The Product Lifecycle,1 hour
m2-c4,c4c4c4c4-c4c4-c4c4-c4c4-c4c4c4c4c4c4,2,Writing User Stories,1.5 hours
m1-c5,c5c5c5c5-c5c5-c5c5-c5c5-c5c5c5c5c5c5,1,Building a REST API,4 hours
m2-c5,c5c5c5c5-c5c5-c5c5-c5c5-c5c5c5c5c5c5,2,Authentication & Security,3 hours
