student_id,skill_name
a1b2c3d4-e5f6-7890-1234-567890abcdef,React
a1b2c3d4-e5f6-7890-1234-567890abcdef,Node.js
a1b2c3d4-e5f6-7890-1234-567890abcdef,Python
a1b2c3d4-e5f6-7890-1234-567890abcdef,AI
b2c3d4e5-f6a7-8901-2345-67890abcdef0,Python
b2c3d4e5-f6a7-8901-2345-67890abcdef0,Django
b2c3d4e5-f6a7-8901-2345-67890abcdef0,AWS
b2c3d4e5-f6a7-8901-2345-67890abcdef0,PostgreSQL
c3d4e5f6-a7b8-9012-3456-7890abcdef01,Figma
c3d4e5f6-a7b8-9012-3456-7890abcdef01,User Research
c3d4e5f6-a7b8-9012-3456-7890abcdef01,Wireframing
c3d4e5f6-a7b8-9012-3456-7890abcdef01,Prototyping
d4e5f6a7-b8c9-0123-4567-890abcdef012,Google Analytics
d4e5f6a7-b8c9-0123-4567-890abcdef012,SEO
d4e5f6a7-b8c9-0123-4567-890abcdef012,Social Media Marketing
e5f6a7b8-c9d0-1234-5678-90abcdef0123,Machine Learning
e5f6a7b8-c9d0-1234-5678-90abcdef0123,Pandas
e5f6a7b8-c9d0-1234-5678-90abcdef0123,TensorFlow
e5f6a7b8-c9d0-1234-5678-90abcdef0123,Scikit-learn
